FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAG,SAC,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
01/01/23,1,0.78,0.45,0.84,1.24,1.51,0.65,-99,0.46,1.45,1.16,1,0.8,0.2,1.06,-99,0.69,1.71,1.2,0.53,0.15,0.51,0.46,1.7,0.45,-99,-99,1.22,0.9,-99,-99,1.02,2.65,-99
01/01/23,2,0.77,0.43,1.14,1.53,1.66,0.56,-99,0.41,1.21,0.98,1.49,1.11,0.16,1.04,-99,1.06,1.39,1,0.84,0.18,1.24,0.34,1.45,0.68,-99,-99,1.17,0.74,-99,-99,0.87,2.93,-99
01/01/23,3,0.92,0.42,0.8,1.41,1.56,0.48,-99,0.41,1.01,0.8,1.31,1.49,0.13,1.13,-99,1.4,1.14,1.2,1.53,0.17,1.49,0.4,1.46,1.94,-99,-99,1,0.75,-99,-99,0.99,2.26,-99
01/01/23,4,0.93,0.48,0.8,1.14,1.43,0.46,-99,0.31,0.95,0.88,1.11,1.59,0.12,1.43,-99,1,1.25,1.1,1.56,0.19,1.73,0.38,1.64,2.46,-99,-99,0.7,0.89,-99,-99,1.2,2.07,-99
01/01/23,5,0.83,0.37,0.42,0.98,1.52,0.51,-99,0.35,0.77,0.77,1.24,1.06,0.11,1.41,-99,1.24,1.38,1.3,1.77,0.16,1.6,0.47,1.69,2.96,-99,-99,0.77,1.11,-99,-99,1.12,2.32,-99
01/01/23,6,0.75,0.35,0.59,1.02,1.57,0.57,0.72,0.35,0.78,0.85,1.52,0.93,0.1,1.17,-99,1.82,1.51,1.5,1.97,0.16,1.38,0.48,1.75,2.35,-99,-99,0.37,0.69,-99,-99,1.43,2.21,-99
01/01/23,7,0.7,0.14,0.79,1.22,1.64,0.55,1.44,0.44,0.67,0.82,0.91,1.26,0.09,1.36,-99,1.7,1.75,1.3,1.88,0.15,1.17,-99,1.25,1.95,-99,-99,0.86,0.73,-99,-99,1.69,2.03,-99
01/01/23,8,0.6,0.1,0.61,1.23,1.56,0.46,1.93,0.35,0.51,0.81,0.74,1.81,0.11,1.5,-99,1.78,1.53,1.5,1.85,0.13,1.86,-99,0.83,2.52,-99,-99,0.47,0.48,-99,-99,1.68,1.92,-99
01/01/23,9,0.58,0.48,0.79,1.62,1.19,0.44,1.19,0.31,0.35,1.06,0.84,1.39,0.12,1.11,-99,2.43,1.65,1.6,1.39,0.15,2.43,-99,1.34,2.57,-99,-99,0.95,0.72,-99,-99,1.41,1.53,-99
01/01/23,10,0.39,0.55,0.84,1.47,1.69,0.56,0.39,0.32,0.66,1,0.77,1.32,0.12,0.99,-99,2.27,1.35,1.3,0.89,0.19,1.58,-99,1.4,1.68,-99,-99,0.45,0.81,-99,-99,1.48,1.55,-99
01/01/23,11,0.3,0.5,0.71,1.06,1.11,0.71,0.24,0.4,0.72,1.04,0.6,0.9,0.12,0.99,-99,1.28,0.85,1,0.57,0.26,0.86,-99,0.84,0.63,-99,-99,0.34,0.94,-99,-99,0.92,0.8,-99
01/01/23,12,0.14,0.54,0.72,0.7,0.45,0.72,0.17,0.32,0.74,0.75,0.1,0.65,0.2,0.42,-99,0.45,0.5,0.6,0.4,0.31,0.3,-99,0.09,0.28,-99,-99,0.13,0.39,-99,-99,0.34,0.37,-99
01/01/23,13,0.11,0.45,0.48,0.24,0.31,0.62,0.09,0.42,0.77,0.36,0.11,0.3,0.18,0.19,-99,0.08,0.46,0.5,0.13,0.27,0.2,-99,0.06,0.14,-99,-99,0.1,0.13,-99,-99,0.27,0.3,-99
01/01/23,14,0.11,0.31,0.23,0.13,0.25,0.49,0.16,0.35,0.46,0.33,0.09,0.12,0.13,0.09,-99,0.12,0.19,0.3,0.09,0.13,0.13,-99,0.06,0.11,-99,-99,0.08,0.14,-99,-99,0.1,0.15,-99
01/01/23,15,0.12,0.27,0.3,0.11,0.14,0.37,0.14,0.36,0.19,0.26,0.09,0.06,0.17,0.07,-99,0.22,0.18,0.2,0.1,0.13,0.07,-99,0.04,0.16,-99,-99,0.05,0.11,-99,-99,0.03,0.12,-99
01/01/23,16,0.1,0.17,0.16,0.09,0.15,0.28,0.14,0.42,0.17,0.17,0.05,0.06,0.14,0.17,-99,0.23,0.15,0.2,0.1,0.15,0.11,-99,0.06,0.2,-99,-99,0.06,0.08,-99,-99,0.09,0.18,-99
01/01/23,17,0.09,0.13,0.1,0.14,0.11,0.21,0.18,0.24,0.12,0.16,0.08,0.08,0.2,0.17,-99,0.31,0.13,0.2,0.1,0.14,0.11,-99,0.09,0.22,-99,-99,0.06,0.07,-99,-99,0.1,0.14,-99
01/01/23,18,0.1,0.15,0.23,0.12,0.16,0.16,0.32,0.28,0.14,0.16,0.1,0.08,-99,0.15,-99,0.12,0.13,0.3,0.1,0.11,0.11,-99,0.16,0.16,-99,-99,0.07,0.16,-99,-99,0.12,0.2,-99
01/01/23,19,0.16,0.17,0.22,0.16,0.17,0.12,0.33,0.31,0.2,0.21,0.18,0.13,0.14,0.18,-99,0.21,0.17,0.3,0.18,0.12,0.14,-99,0.18,0.19,-99,-99,0.17,0.04,-99,-99,0.09,0.51,-99
01/01/23,20,0.25,0.32,0.27,0.2,0.25,0.11,0.52,0.34,0.2,0.35,0.25,0.17,0.13,0.31,-99,0.29,0.26,0.4,0.31,0.16,0.36,-99,0.31,0.25,-99,-99,0.27,0.11,-99,-99,0.14,0.66,-99
01/01/23,21,0.43,0.25,0.55,0.34,0.44,0.1,0.56,0.44,0.52,0.64,0.4,0.25,0.13,0.36,-99,0.38,0.35,0.6,0.32,0.18,0.37,-99,0.48,0.23,-99,-99,0.18,0.35,-99,-99,0.31,0.9,-99
01/01/23,22,0.51,0.17,0.57,0.57,0.61,0.11,0.74,0.35,0.78,0.61,0.57,0.43,0.11,0.53,-99,0.41,0.43,1.3,0.44,0.21,0.44,-99,0.7,0.16,-99,-99,0.16,0.47,-99,-99,0.36,0.33,-99
01/01/23,23,0.37,0.18,0.59,0.57,1.26,0.15,0.47,0.46,1,0.83,0.72,0.4,0.1,0.25,-99,0.4,0.41,1.1,0.24,0.18,0.48,-99,0.81,0.21,-99,-99,0.12,0.74,-99,-99,0.5,0.53,-99
01/01/23,24,0.43,0.33,0.46,0.43,1.72,0.24,0.47,0.31,0.96,0.84,0.74,0.4,0.15,0.22,-99,0.47,0.6,0.6,0.2,0.16,0.46,-99,0.63,0.13,-99,-99,0.25,0.8,-99,-99,0.54,0.37,-99
02/01/23,1,-99,0.34,0.68,0.95,1.7,0.3,0.47,0.13,0.59,0.71,0.67,0.53,0.14,0.2,-99,0.58,0.48,0.9,0.25,0.15,0.22,-99,0.41,0.09,-99,-99,0.37,0.7,-99,-99,0.34,0.65,-99
02/01/23,2,-99,0.32,0.48,1.02,1.47,0.33,0.35,0.12,0.37,0.58,0.59,0.88,0.14,0.24,-99,0.42,0.56,0.8,0.18,0.14,0.18,-99,0.36,0.09,-99,-99,0.23,0.57,-99,-99,0.23,0.85,-99
02/01/23,3,-99,0.31,0.26,0.67,1.46,0.34,0.21,0.09,0.27,0.5,0.3,0.91,0.13,0.33,-99,0.2,0.66,0.7,0.1,0.13,0.27,-99,0.19,0.09,-99,-99,0.2,0.36,-99,-99,0.26,0.84,-99
02/01/23,4,-99,0.27,0.3,0.35,1.03,0.29,0.21,0.06,0.21,0.34,0.48,0.48,0.09,0.15,-99,0.12,0.8,0.6,0.11,0.14,0.08,-99,0.17,0.17,-99,-99,0.15,0.25,-99,-99,0.15,0.72,-99
02/01/23,5,0.24,0.21,0.24,0.36,1.07,0.21,0.17,0.06,0.25,0.23,1.05,0.28,0.11,0.08,-99,0.09,0.7,0.7,0.38,0.15,0.12,-99,0.41,0.12,-99,-99,0.03,0.32,-99,-99,0.1,0.71,-99
02/01/23,6,0.28,0.19,0.38,0.46,1.14,0.14,0.19,0.22,0.49,0.34,0.8,0.42,0.1,0.1,-99,0.36,1.08,0.6,0.6,0.17,0.44,-99,0.66,0.14,-99,-99,0.05,0.57,-99,-99,0.2,0.83,-99
02/01/23,7,0.4,0.18,1.11,0.65,1.5,0.1,0.42,0.33,1.39,0.8,0.74,0.79,0.1,0.38,-99,0.96,2.08,0.8,1.08,0.18,0.9,-99,1.17,0.18,-99,-99,0.09,1.09,-99,-99,0.53,1.42,-99
02/01/23,8,0.61,0.18,1.87,0.78,2.4,0.1,0.62,0.34,1.06,1.19,0.74,1.21,0.1,0.6,-99,0.87,2.74,1,1.05,0.18,0.96,-99,1.05,0.28,-99,-99,0.17,1.74,-99,-99,0.74,2.36,-99
02/01/23,9,0.74,0.29,0.77,0.62,1.82,0.16,0.71,0.48,0.93,1.86,0.66,0.75,0.13,0.4,-99,0.57,1.28,0.8,0.53,0.17,0.46,-99,0.74,0.19,-99,-99,0.12,1.58,-99,-99,0.77,2.17,-99
02/01/23,10,0.23,0.45,0.59,0.3,0.79,0.19,0.54,0.3,0.69,1.04,0.28,0.18,0.16,0.29,-99,0.52,0.21,0.4,0.15,0.15,0.17,-99,0.32,0.23,-99,-99,0.09,0.69,-99,-99,0.24,0.81,-99
02/01/23,11,0.06,0.36,0.4,0.1,0.28,0.16,0.47,0.21,0.48,0.39,0.13,0.08,0.23,0.19,-99,0.28,0.15,0.3,0.06,0.16,0.13,-99,0.07,0.22,-99,-99,0.06,-99,-99,-99,0.07,0.23,-99
02/01/23,12,0.05,0.33,0.23,0.12,0.14,0.11,0.45,0.17,0.25,0.23,0.1,0.07,0.17,0.13,-99,0.33,0.12,0.2,0.05,0.17,-99,-99,0.1,0.2,-99,-99,0.05,-99,-99,-99,0.04,0.1,-99
02/01/23,13,0.05,0.34,0.12,0.1,0.1,0.09,0.37,0.19,0.13,0.12,0.1,0.07,0.17,0.12,-99,0.3,0.12,0.2,0.04,0.16,-99,-99,0.09,0.17,-99,-99,0.05,-99,-99,-99,0.06,0.2,-99
02/01/23,14,0.06,0.35,0.1,0.12,0.09,0.08,0.42,0.26,0.1,0.13,0.08,0.07,0.17,0.15,-99,0.28,0.16,0.1,0.07,0.17,-99,-99,0.08,0.23,-99,-99,0.06,-99,-99,-99,-99,0.2,-99
02/01/23,15,0.07,0.41,0.18,-99,0.04,0.08,0.5,0.22,0.16,0.17,0.11,0.12,0.17,0.15,-99,0.33,0.15,0.1,0.1,-99,-99,-99,0.11,0.26,-99,-99,0.06,0.04,-99,-99,-99,0.3,-99
02/01/23,16,0.1,0.38,0.16,0.17,0.03,0.08,0.33,0.24,0.13,0.15,0.13,0.13,0.18,0.15,-99,0.36,0.18,0.1,0.09,0.12,-99,-99,0.09,0.28,-99,-99,0.07,0.08,-99,-99,-99,0,-99
02/01/23,17,0.09,0.38,0.17,0.16,0.05,0.08,0.32,0.25,0.14,0.21,0.17,0.13,0.18,0.22,-99,0.38,0.2,0.1,0.27,0.13,0.13,-99,0.12,0.31,-99,-99,0.1,0.09,-99,-99,-99,0.13,-99
02/01/23,18,0.11,0.36,0.29,0.18,0.13,0.09,0.47,0.3,0.16,0.2,0.18,0.14,0.18,0.14,-99,1.23,0.23,0.3,0.12,0.12,0.18,-99,0.18,0.31,-99,-99,0.12,0.09,-99,-99,-99,0.23,-99
02/01/23,19,0.19,0.3,0.38,0.22,0.29,0.11,0.55,0.32,0.19,0.32,0.26,0.2,0.17,0.25,-99,0.95,0.31,0.4,0.19,0.11,0.33,-99,0.3,0.28,-99,-99,0.2,0.23,-99,-99,0.27,0.27,-99
02/01/23,20,0.21,0.28,0.29,0.34,0.3,0.16,0.57,0.47,0.23,0.8,0.37,0.28,0.18,0.42,-99,0.61,0.45,0.5,0.33,0.1,0.37,-99,0.51,0.42,-99,-99,0.41,0.31,-99,-99,0.45,0.28,-99
02/01/23,21,0.31,0.22,0.37,0.33,0.33,0.19,0.74,0.32,0.44,0.51,0.44,0.27,0.17,0.3,-99,0.63,0.37,0.5,0.34,0.1,0.41,-99,0.57,0.48,-99,-99,0.43,0.52,-99,-99,0.48,0.46,-99
02/01/23,22,0.48,0.21,0.46,0.3,0.46,0.19,0.59,0.38,0.51,0.43,0.53,0.2,0.14,0.51,-99,0.54,0.4,0.5,0.56,0.15,0.45,-99,0.54,0.45,-99,-99,0.45,0.75,-99,-99,0.57,0.35,-99
02/01/23,23,0.59,0.28,0.31,0.34,1.01,0.16,0.45,0.23,0.32,0.41,0.67,0.26,0.14,0.56,-99,0.62,0.47,0.5,0.37,0.15,0.23,-99,0.59,0.38,-99,-99,0.3,0.49,-99,-99,0.68,0.51,-99
02/01/23,24,0.78,0.33,0.23,0.49,1.24,0.17,0.26,0.14,0.14,0.34,0.53,0.4,0.2,0.25,-99,0.42,0.56,0.9,0.32,0.12,0.15,-99,0.51,0.19,-99,-99,0.13,0.19,-99,-99,0.63,1.04,-99
03/01/23,1,0.54,0.33,0.14,0.54,1.13,0.18,0.32,0.1,0.12,0.2,0.43,0.34,0.19,0.1,-99,0.46,0.44,0.5,0.12,0.11,0.06,-99,0.48,0.16,-99,-99,0.19,0.13,-99,-99,0.19,0.8,-99
