FECHA,HORA,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
01/01/23,1,15,1,-99,13,-99,47,3,-99,-99,2,24,21,-99,7,-99,18,-99,-99,85,26,1,-99,1,4,1,47,-99,-99,20,18,-99,3,14,98,-99
01/01/23,2,14,0,-99,24,-99,55,2,-99,-99,2,15,16,-99,21,-99,17,-99,-99,45,13,12,-99,27,1,8,64,-99,-99,14,17,-99,6,10,114,-99
01/01/23,3,22,0,-99,7,-99,50,2,-99,-99,2,8,12,-99,50,-99,19,-99,-99,24,22,42,-99,41,1,55,66,-99,-99,8,18,-99,12,16,81,-99
01/01/23,4,21,1,-99,10,-99,39,5,-99,-99,1,9,17,-99,55,-99,36,-99,-99,31,26,35,-99,58,1,73,56,-99,-99,5,26,-99,13,24,68,-99
01/01/23,5,16,1,-99,2,-99,47,11,-99,-99,1,5,16,-99,32,-99,43,-99,-99,47,44,56,-99,49,3,118,65,-99,-99,12,36,-99,16,24,73,-99
01/01/23,6,12,1,-99,5,-99,65,9,12,-99,1,5,14,-99,26,-99,29,-99,-99,71,56,54,-99,36,5,89,77,-99,-99,2,21,-99,35,49,71,-99
01/01/23,7,11,0,-99,9,-99,69,2,45,-99,2,4,12,-99,54,-99,43,-99,-99,98,51,41,-99,26,-99,67,48,-99,-99,8,23,-99,96,69,61,-99
01/01/23,8,10,0,-99,10,-99,62,4,79,-99,2,4,21,-99,95,-99,59,-99,-99,98,87,56,-99,51,2,95,31,-99,-99,4,15,-99,56,69,50,-99
01/01/23,9,17,9,-99,17,-99,31,14,42,-99,7,5,28,-99,57,-99,32,-99,-99,88,67,46,-99,71,9,90,50,-99,-99,17,31,-99,34,37,30,-99
01/01/23,10,7,6,-99,12,-99,30,14,7,-99,4,16,21,-99,28,-99,12,-99,-99,43,21,18,-99,20,8,29,19,-99,-99,3,28,-99,9,20,18,-99
01/01/23,11,3,3,-99,11,-99,7,6,3,-99,3,8,9,-99,8,-99,5,-99,-99,9,8,4,-99,5,4,7,5,-99,-99,2,11,-99,3,6,7,-99
01/01/23,12,1,3,-99,5,-99,3,2,1,-99,2,3,7,-99,4,-99,1,-99,-99,2,4,1,-99,2,1,3,1,-99,-99,1,4,-99,1,2,4,-99
01/01/23,13,1,2,-99,2,-99,1,1,1,-99,2,2,3,-99,1,-99,0,-99,-99,1,2,1,-99,1,1,2,0,-99,-99,1,2,-99,0,1,2,-99
01/01/23,14,1,1,-99,1,-99,0,0,3,-99,1,2,2,-99,1,-99,0,-99,-99,1,2,0,-99,1,1,1,0,-99,-99,1,1,-99,0,0,2,-99
01/01/23,15,1,1,-99,1,-99,1,0,2,-99,2,1,1,-99,2,-99,0,-99,-99,3,2,1,-99,1,0,2,0,-99,-99,1,1,-99,0,0,1,-99
01/01/23,16,1,1,-99,1,-99,0,0,3,-99,2,1,2,-99,2,-99,1,-99,-99,1,1,1,-99,1,0,3,0,-99,-99,1,0,-99,0,0,2,-99
01/01/23,17,1,0,-99,1,-99,0,0,3,-99,1,1,1,-99,2,-99,1,-99,-99,0,2,1,-99,1,0,3,1,-99,-99,0,1,-99,0,0,1,-99
01/01/23,18,1,0,-99,2,-99,0,0,8,-99,1,1,2,-99,3,-99,1,-99,-99,1,2,1,-99,1,0,3,3,-99,-99,1,3,-99,0,0,2,-99
