FECHA,HORA,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
01/01/23,1,24,8,-99,25,32,39,20,-99,-99,15,27,31,34,36,35,-99,36,-99,-99,39,36,17,2,25,18,13,37,-99,-99,26,35,-99,27,32,36,-99
01/01/23,2,21,7,-99,25,28,35,17,-99,-99,10,27,27,32,35,35,-99,34,-99,-99,34,32,19,3,34,13,19,31,-99,-99,24,26,-99,26,29,32,-99
01/01/23,3,19,7,-99,24,25,30,18,-99,-99,10,24,23,29,29,32,-99,31,-99,-99,31,30,22,2,34,14,31,30,-99,-99,24,26,-99,24,32,28,-99
01/01/23,4,18,11,-99,23,23,27,18,-99,-99,8,20,22,21,26,28,-99,30,-99,-99,28,28,18,3,32,14,29,26,-99,-99,16,26,-99,22,27,24,-99
01/01/23,5,15,11,-99,14,23,24,18,-99,-99,9,16,23,21,25,27,-99,28,-99,-99,27,27,16,3,28,17,26,22,-99,-99,13,24,-99,22,26,22,-99
01/01/23,6,13,11,-99,18,22,22,16,14,-99,10,16,21,21,23,26,-99,26,-99,-99,27,26,13,2,25,16,27,20,-99,-99,9,23,-99,19,23,22,-99
01/01/23,7,12,5,-99,17,18,21,15,17,-99,14,14,22,16,19,25,-99,23,-99,-99,28,26,12,2,23,-99,24,19,-99,-99,14,21,-99,13,23,19,-99
01/01/23,8,11,4,-99,17,18,20,14,15,-99,12,10,17,14,19,30,-99,24,-99,-99,33,26,11,2,23,11,22,17,-99,-99,10,18,-99,17,23,17,-99
01/01/23,9,10,16,-99,18,35,32,19,18,-99,11,7,26,17,32,40,-99,35,-99,-99,41,35,16,2,35,17,40,27,-99,-99,16,23,-99,24,33,24,-99
01/01/23,10,10,15,-99,23,50,60,32,11,-99,9,20,37,18,38,55,-99,39,-99,-99,57,46,23,2,43,20,58,42,-99,-99,10,36,-99,26,48,35,-99
01/01/23,11,10,14,-99,31,36,46,25,7,-99,12,24,44,17,28,39,-99,41,-99,-99,37,37,16,3,25,24,27,32,-99,-99,9,40,-99,15,32,23,-99
01/01/23,12,4,17,-99,28,19,22,16,5,-99,10,23,35,5,9,26,-99,19,-99,-99,18,19,9,3,10,15,12,9,-99,-99,4,19,-99,7,11,14,-99
01/01/23,13,3,13,-99,17,6,13,7,4,-99,11,23,17,4,6,13,-99,11,-99,-99,19,14,4,3,8,8,7,8,-99,-99,3,10,-99,4,8,11,-99
01/01/23,14,3,8,-99,9,3,9,6,5,-99,9,15,13,3,7,8,-99,7,-99,-99,8,8,3,1,6,7,4,8,-99,-99,4,8,-99,2,3,6,-99
01/01/23,15,4,7,-99,9,4,6,5,5,-99,10,8,9,5,5,8,-99,7,-99,-99,9,8,3,1,5,5,5,8,-99,-99,2,8,-99,2,1,6,-99
