FECHA,HORA,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
01/01/23,1,39,9,-99,38,-99,86,23,-99,-99,17,51,51,-99,42,-99,54,-99,-99,124,63,19,-99,26,22,14,84,-99,-99,46,53,-99,30,47,133,-99
01/01/23,2,35,8,-99,49,-99,90,19,-99,-99,12,42,43,-99,56,-99,51,-99,-99,79,45,31,-99,61,14,28,95,-99,-99,39,44,-99,32,40,145,-99
01/01/23,3,41,8,-99,31,-99,80,19,-99,-99,12,32,36,-99,82,-99,50,-99,-99,55,52,64,-99,75,16,86,96,-99,-99,32,45,-99,36,48,109,-99
01/01/23,4,39,12,-99,33,-99,66,23,-99,-99,9,29,39,-99,83,-99,66,-99,-99,60,55,53,-99,90,15,102,83,-99,-99,21,52,-99,36,52,92,-99
01/01/23,5,31,11,-99,16,-99,72,29,-99,-99,10,21,39,-99,59,-99,71,-99,-99,74,71,72,-99,76,19,144,87,-99,-99,25,61,-99,38,50,95,-99
01/01/23,6,25,12,-99,23,-99,86,25,26,-99,11,22,36,-99,52,-99,56,-99,-99,98,82,67,-99,61,22,116,97,-99,-99,11,44,-99,53,73,92,-99
01/01/23,7,24,6,-99,26,-99,90,18,61,-99,16,17,33,-99,79,-99,66,-99,-99,127,78,53,-99,50,-99,92,67,-99,-99,23,44,-99,110,92,80,-99
01/01/23,8,20,4,-99,27,-99,82,18,93,-99,14,14,39,-99,124,-99,83,-99,-99,132,113,67,-99,74,13,117,48,-99,-99,14,33,-99,73,92,67,-99
01/01/23,9,27,25,-99,36,-99,63,33,60,-99,17,12,54,-99,98,-99,67,-99,-99,129,102,62,-99,107,26,129,77,-99,-99,33,55,-99,58,70,53,-99
01/01/23,10,17,21,-99,35,-99,90,45,18,-99,13,36,58,-99,83,-99,51,-99,-99,100,67,40,-99,63,27,87,61,-99,-99,13,64,-99,36,68,53,-99
01/01/23,11,13,18,-99,42,-99,52,31,10,-99,15,32,53,-99,47,-99,46,-99,-99,46,45,19,-99,30,29,34,37,-99,-99,12,51,-99,18,38,31,-99
01/01/23,12,5,20,-99,33,-99,25,18,6,-99,12,26,42,-99,30,-99,20,-99,-99,20,23,10,-99,12,16,15,10,-99,-99,5,23,-99,8,13,18,-99
01/01/23,13,4,14,-99,18,-99,14,8,5,-99,13,26,20,-99,14,-99,10,-99,-99,20,16,4,-99,9,9,9,8,-99,-99,4,12,-99,4,8,13,-99
01/01/23,14,4,8,-99,10,-99,10,6,8,-99,10,17,14,-99,8,-99,6,-99,-99,8,10,3,-99,7,7,6,8,-99,-99,4,9,-99,2,3,8,-99
