FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CHO,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,MER,MGH,MPA,NEZ,PED,SAC,SAG,SFE,TAH,TLA,TLI,UIZ,VIF,XAL
01/01/23,1,119,-99,60,56,66,-99,80,138,84,-99,91,-99,-99,120,66,-99,16,67,-99,-99,210,-99,141,63,-99,86,260,-99
01/01/23,2,157,-99,91,78,77,-99,71,163,89,-99,119,-99,8,120,86,-99,20,184,-99,-99,158,-99,169,61,-99,110,370,-99
01/01/23,3,219,-99,51,84,124,-99,52,145,78,-99,213,-99,7,132,97,-99,14,163,-99,-99,146,-99,153,62,-99,114,362,-99
01/01/23,4,181,-99,35,71,129,-99,32,93,68,-99,288,-99,7,113,96,-99,14,185,-99,-99,222,-99,85,72,-99,133,288,-99
01/01/23,5,142,-99,16,72,105,-99,29,70,61,-99,229,-99,5,138,96,-99,12,195,-99,-99,230,-99,79,76,-99,136,295,-99
01/01/23,6,120,-99,25,73,102,110,23,75,56,-99,214,-99,3,126,107,-99,-99,193,-99,-99,231,-99,40,49,-99,144,294,-99
01/01/23,7,95,-99,42,66,108,102,34,52,61,-99,226,-99,-99,120,122,-99,11,156,-99,-99,162,-99,72,52,-99,151,213,-99
01/01/23,8,81,-99,41,69,102,137,27,40,93,-99,230,-99,-99,162,133,-99,14,197,-99,-99,99,-99,55,42,-99,178,233,-99
01/01/23,9,64,-99,38,128,89,93,1,29,73,-99,239,-99,-99,164,156,-99,10,223,-99,-99,162,-99,88,71,-99,170,153,-99
01/01/23,10,62,-99,68,159,161,30,24,80,95,-99,191,-99,-99,157,160,-99,18,208,-99,-99,222,-99,91,104,-99,197,221,-99
01/01/23,11,46,-99,66,141,139,21,32,95,118,-99,152,-99,5,145,117,-99,42,125,-99,-99,151,-99,81,114,-99,131,131,-99
01/01/23,12,35,-99,72,108,62,10,26,92,78,-99,60,-99,4,60,65,-99,55,37,-99,-99,47,-99,30,113,-99,57,36,-99
01/01/23,13,11,-99,30,41,36,1,29,79,9,-99,39,-99,7,19,60,-99,35,25,-99,-99,30,-99,3,-99,-99,43,16,-99
01/01/23,14,9,-99,7,19,27,9,35,18,35,-99,43,-99,9,3,28,-99,11,12,-99,-99,21,-99,-99,-99,-99,22,-99,-99
01/01/23,15,19,-99,20,15,-99,14,31,10,4,-99,27,-99,6,-99,18,-99,30,12,-99,-99,22,-99,-99,-99,-99,12,-99,-99
01/01/23,16,18,-99,4,14,-99,11,24,13,-99,-99,18,-99,11,13,-99,-99,26,16,-99,-99,14,-99,-99,-99,-99,13,-99,-99
01/01/23,17,21,-99,35,20,-99,24,17,13,5,-99,-99,-99,-99,16,16,-99,12,14,-99,-99,24,-99,-99,-99,-99,13,-99,-99
01/01/23,18,20,-99,12,18,-99,17,18,30,36,-99,-99,-99,12,27,16,-99,11,20,-99,-99,24,-99,-99,-99,-99,12,-99,-99
01/01/23,19,30,-99,11,12,-99,24,22,16,13,-99,-99,-99,10,16,26,-99,16,24,-99,-99,30,-99,-99,-99,-99,9,-99,-99
01/01/23,20,38,-99,7,16,25,27,15,6,14,-99,-99,-99,10,23,15,-99,13,-99,-99,-99,20,-99,-99,-99,-99,8,-99,-99
01/01/23,21,37,-99,6,14,15,35,21,45,24,-99,18,-99,9,28,36,-99,25,-99,-99,-99,24,-99,-99,-99,-99,16,-99,-99
01/01/23,22,48,-99,8,16,16,30,18,12,29,-99,19,-99,9,33,39,-99,19,-99,-99,-99,29,-99,-99,-99,-99,22,9,-99
01/01/23,23,38,-99,9,23,27,40,18,46,24,-99,23,-99,6,23,18,-99,16,-99,-99,-99,53,-99,-99,-99,-99,21,20,-99
01/01/23,24,41,-99,4,16,40,32,20,50,23,-99,31,-99,8,22,25,-99,8,-99,-99,-99,33,-99,-99,-99,-99,34,4,-99
02/01/23,1,42,-99,7,26,56,32,10,29,27,-99,34,-99,6,21,35,-99,13,-99,-99,-99,31,-99,-99,-99,-99,23,53,-99
02/01/23,2,42,-99,12,28,56,25,13,18,14,-99,26,-99,11,14,20,-99,10,-99,-99,-99,27,-99,-99,-99,-99,20,54,-99
02/01/23,3,39,-99,9,19,34,17,11,9,10,-99,22,-99,11,19,21,-99,14,-99,-99,-99,19,-99,-99,-99,-99,19,54,-99
