FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,FAR,GAM,HGM,INN,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TLA,UAX,UIZ,XAL
01/01/23,1,-99,-99,47,52,32,-99,51,65,-99,-99,52,-99,65,12,53,-99,58,170,-99,-99,49,58,71,-99
01/01/23,2,-99,-99,69,61,41,-99,114,88,-99,6,72,-99,90,15,165,-99,94,124,-99,-99,48,76,94,-99
01/01/23,3,-99,-99,77,107,47,-99,131,162,-99,4,84,-99,118,11,143,-99,197,115,-99,-99,48,88,98,-99
01/01/23,4,-99,-99,65,112,57,-99,119,225,-99,6,85,-99,138,10,158,-99,233,179,-99,-99,53,101,116,-99
01/01/23,5,-99,-99,67,90,60,-99,114,176,-99,4,84,-99,135,10,175,-99,269,189,-99,-99,64,105,118,-99
01/01/23,6,-99,-99,68,89,55,-99,154,166,-99,2,94,-99,148,-99,162,-99,253,192,-99,-99,37,128,121,-99
01/01/23,7,-99,-99,62,95,40,-99,133,172,-99,-99,106,-99,114,10,128,-99,234,137,-99,-99,40,122,127,-99
01/01/23,8,-99,-99,63,91,29,-99,83,176,-99,-99,117,-99,95,7,184,-99,246,82,-99,-99,31,122,150,-99
01/01/23,9,-99,-99,115,75,25,-99,66,186,-99,-99,140,-99,98,7,190,-99,263,137,-99,-99,55,126,146,-99
01/01/23,10,-99,-99,144,139,58,-99,79,149,-99,-99,146,-99,70,18,185,-99,257,198,-99,-99,87,124,172,-99
01/01/23,11,-99,-99,128,124,94,-99,78,120,-99,4,107,-99,59,36,108,-99,111,129,-99,-99,105,109,116,-99
01/01/23,12,-99,-99,100,55,69,-99,39,47,-99,3,57,-99,34,43,36,-99,46,42,-99,-99,87,21,50,-99
01/01/23,13,-99,-99,37,31,23,-99,-99,30,-99,5,54,-99,-99,31,18,-99,19,22,-99,-99,-99,2,34,-99
01/01/23,14,-99,-99,15,18,12,-99,8,32,-99,8,24,-99,-99,8,6,-99,23,15,-99,-99,-99,-99,17,-99
01/01/23,15,-99,-99,12,-99,6,-99,3,20,-99,3,15,-99,2,13,6,-99,23,12,-99,-99,-99,-99,7,-99
01/01/23,16,-99,-99,8,-99,6,-99,3,11,-99,8,-99,-99,4,17,8,-99,11,5,-99,-99,-99,6,7,-99
01/01/23,17,-99,-99,13,-99,2,-99,7,-99,-99,-99,9,-99,2,8,8,-99,24,10,-99,-99,-99,4,6,-99
01/01/23,18,-99,-99,12,-99,8,-99,8,-99,-99,7,6,-99,4,5,7,-99,8,8,-99,-99,-99,13,4,-99
01/01/23,19,-99,-99,6,-99,9,-99,5,-99,-99,4,20,-99,3,10,4,-99,12,9,-99,-99,-99,16,2,-99
01/01/23,20,-99,-99,11,20,7,-99,8,-99,-99,7,4,-99,14,8,6,-99,29,5,-99,-99,-99,15,3,-99
01/01/23,21,-99,-99,9,9,6,-99,11,10,-99,6,28,-99,14,18,10,-99,19,9,-99,-99,-99,23,9,-99
01/01/23,22,-99,-99,8,8,9,-99,12,8,-99,7,30,-99,13,12,14,-99,21,13,-99,-99,-99,20,14,-99
01/01/23,23,-99,-99,18,15,11,-99,23,12,-99,4,8,-99,12,12,15,-99,32,30,-99,-99,-99,13,12,-99
01/01/23,24,-99,-99,11,24,9,-99,22,16,-99,6,18,-99,11,6,13,-99,18,15,-99,-99,-99,15,19,-99
02/01/23,1,-99,-99,19,34,8,-99,8,17,-99,3,23,-99,13,8,9,-99,10,17,-99,-99,-99,18,13,-99
02/01/23,2,-99,-99,22,34,12,-99,18,11,-99,8,14,-99,12,7,7,-99,20,14,-99,-99,-99,22,12,-99
02/01/23,3,-99,-99,14,20,12,-99,9,11,-99,8,14,-99,9,10,14,-99,5,11,-99,-99,-99,11,12,-99
02/01/23,4,-99,-99,12,15,8,-99,9,16,-99,2,16,-99,8,8,11,-99,7,14,-99,-99,-99,14,9,-99
02/01/23,5,-99,-99,11,21,8,-99,15,17,-99,3,10,-99,10,10,10,-99,9,17,-99,-99,-99,12,12,-99
02/01/23,6,-99,-99,8,20,3,-99,21,12,-99,3,16,-99,18,8,9,-99,5,14,-99,-99,-99,8,8,-99
02/01/23,7,-99,-99,8,19,7,-99,12,18,-99,6,17,-99,18,14,11,-99,11,18,-99,-99,-99,9,13,-99
02/01/23,8,-99,-99,9,25,7,-99,16,26,-99,5,28,-99,24,12,10,-99,12,15,-99,-99,-99,20,10,-99
02/01/23,9,-99,-99,11,29,6,-99,10,12,-99,6,8,-99,29,13,9,-99,8,17,-99,-99,-99,7,14,-99
02/01/23,10,-99,-99,8,16,5,-99,5,7,-99,3,12,-99,6,9,9,-99,4,14,-99,-99,-99,3,7,-99
02/01/23,11,-99,-99,3,7,8,-99,4,9,-99,2,5,-99,3,11,-99,-99,5,5,-99,-99,-99,5,4,-99
02/01/23,12,-99,-99,11,24,5,-99,2,10,-99,3,7,-99,5,5,-99,-99,14,2,-99,-99,-99,1,5,-99
02/01/23,13,-99,-99,7,30,1,-99,3,9,-99,7,3,-99,5,12,-99,-99,8,11,-99,-99,-99,-99,-99,-99
02/01/23,14,-99,-99,6,3,7,-99,4,11,-99,6,8,-99,14,21,-99,-99,9,8,-99,-99,-99,-99,-99,-99
02/01/23,15,-99,-99,-99,2,7,-99,7,4,-99,8,2,-99,9,-99,-99,-99,22,19,-99,-99,-99,6,-99,-99
02/01/23,16,-99,-99,10,5,7,-99,6,12,-99,2,5,-99,14,12,5,-99,2,7,-99,-99,-99,5,-99,-99
02/01/23,17,-99,-99,14,7,9,-99,11,11,-99,5,7,-99,36,10,3,-99,16,1,-99,-99,-99,13,-99,-99
02/01/23,18,-99,-99,7,9,13,-99,18,18,-99,6,2,-99,14,13,8,-99,21,13,-99,-99,-99,20,-99,-99
02/01/23,19,-99,-99,10,-99,16,-99,9,16,-99,8,11,-99,15,12,12,-99,14,12,-99,-99,-99,24,-99,-99
02/01/23,20,-99,-99,9,18,17,-99,16,18,-99,7,18,-99,16,7,11,-99,15,13,-99,-99,-99,22,14,-99
02/01/23,21,-99,-99,8,7,11,-99,16,11,-99,7,12,-99,15,8,13,-99,20,13,-99,-99,-99,23,7,-99
