FECHA,HORA,AJM,BJU,CAM,FAR,GAM,HGM,INN,MER,MGH,MPA,PED,SAC,SAG,SFE,TLA,UIZ,XAL
01/01/23,1,-99,9,14,-99,25,-99,-99,14,-99,4,-99,-99,40,-99,14,15,-99
01/01/23,2,-99,8,16,-99,31,-99,2,14,-99,5,-99,-99,34,-99,13,16,-99
01/01/23,3,-99,8,17,-99,51,-99,2,13,-99,3,-99,-99,31,-99,13,16,-99
01/01/23,4,-99,6,17,-99,64,-99,1,12,-99,4,-99,-99,43,-99,19,17,-99
01/01/23,5,-99,5,14,-99,53,-99,1,12,-99,3,-99,-99,41,-99,12,18,-99
01/01/23,6,-99,5,13,-99,48,-99,2,13,-99,-99,-99,-99,39,-99,12,23,-99
01/01/23,7,-99,4,13,-99,54,-99,-99,16,-99,1,-99,-99,25,-99,12,24,-99
01/01/23,8,-99,6,11,-99,54,-99,-99,16,-99,7,-99,-99,17,-99,11,28,-99
01/01/23,9,-99,13,14,-99,53,-99,-99,16,-99,2,-99,-99,26,-99,16,24,-99
01/01/23,10,-99,15,22,-99,42,-99,-99,14,-99,1,-99,-99,24,-99,18,25,-99
01/01/23,11,-99,13,15,-99,32,-99,1,10,-99,6,-99,-99,22,-99,9,15,-99
01/01/23,12,-99,9,8,-99,12,-99,1,7,-99,12,-99,-99,5,-99,26,7,-99
01/01/23,13,-99,4,5,-99,9,-99,2,7,-99,5,-99,-99,9,-99,-99,9,-99
01/01/23,14,-99,4,9,-99,10,-99,1,5,-99,3,-99,-99,6,-99,-99,5,-99
01/01/23,15,-99,3,-99,-99,7,-99,3,3,-99,17,-99,-99,10,-99,-99,5,-99
01/01/23,16,-99,6,-99,-99,7,-99,4,-99,-99,9,-99,-99,9,-99,-99,6,-99
01/01/23,17,-99,7,-99,-99,-99,-99,-99,8,-99,4,-99,-99,14,-99,-99,7,-99
01/01/23,18,-99,6,-99,-99,-99,-99,5,10,-99,6,-99,-99,15,-99,-99,9,-99
01/01/23,19,-99,6,-99,-99,-99,-99,5,6,-99,6,-99,-99,21,-99,-99,7,-99
01/01/23,20,-99,5,6,-99,-99,-99,3,11,-99,5,-99,-99,15,-99,-99,5,-99
01/01/23,21,-99,5,6,-99,8,-99,3,8,-99,7,-99,-99,16,-99,-99,7,-99
01/01/23,22,-99,7,8,-99,10,-99,2,9,-99,7,-99,-99,16,-99,-99,8,-99
01/01/23,23,-99,6,12,-99,11,-99,2,11,-99,4,-99,-99,22,-99,-99,9,-99
01/01/23,24,-99,5,15,-99,15,-99,2,7,-99,2,-99,-99,18,-99,-99,16,-99
02/01/23,1,-99,7,22,-99,16,-99,2,12,-99,5,-99,-99,13,-99,-99,10,-99
02/01/23,2,-99,6,22,-99,15,-99,3,6,-99,3,-99,-99,13,-99,-99,7,-99
02/01/23,3,-99,4,15,-99,11,-99,3,7,-99,4,-99,-99,8,-99,-99,7,-99
02/01/23,4,-99,5,8,-99,11,-99,3,7,-99,1,-99,-99,9,-99,-99,5,-99
02/01/23,5,-99,5,13,-99,11,-99,2,6,-99,4,-99,-99,33,-99,-99,5,-99
02/01/23,6,-99,6,16,-99,16,-99,2,9,-99,5,-99,-99,18,-99,-99,6,-99
02/01/23,7,-99,8,19,-99,16,-99,2,15,-99,3,-99,-99,23,-99,-99,9,-99
02/01/23,8,-99,12,29,-99,36,-99,3,21,-99,1,-99,-99,28,-99,-99,12,-99
02/01/23,9,-99,11,36,-99,26,-99,2,15,-99,4,-99,-99,25,-99,-99,16,-99
02/01/23,10,-99,14,19,-99,13,-99,2,7,-99,2,-99,-99,15,-99,-99,12,-99
02/01/23,11,-99,9,12,-99,12,-99,3,8,-99,10,-99,-99,19,-99,-99,19,-99
02/01/23,12,-99,11,9,-99,12,-99,6,9,-99,1,-99,-99,21,-99,-99,22,-99
02/01/23,13,-99,15,9,-99,17,-99,7,14,-99,11,-99,-99,44,-99,-99,-99,-99
02/01/23,14,-99,18,18,-99,21,-99,10,19,-99,6,-99,-99,51,-99,-99,-99,-99
02/01/23,15,-99,-99,9,-99,18,-99,9,19,-99,-99,-99,-99,68,-99,-99,-99,-99
02/01/23,16,-99,10,10,-99,16,-99,8,13,-99,8,-99,-99,40,-99,-99,-99,-99
02/01/23,17,-99,11,9,-99,19,-99,6,12,-99,3,-99,-99,36,-99,-99,-99,-99
02/01/23,18,-99,11,9,-99,17,-99,6,10,-99,13,-99,-99,31,-99,-99,-99,-99
02/01/23,19,-99,9,-99,-99,15,-99,5,9,-99,7,-99,-99,21,-99,-99,-99,-99
02/01/23,20,-99,9,11,-99,16,-99,4,10,-99,7,-99,-99,18,-99,-99,14,-99
02/01/23,21,-99,8,7,-99,12,-99,3,9,-99,4,-99,-99,17,-99,-99,9,-99
02/01/23,22,-99,7,8,-99,13,-99,4,11,-99,7,-99,-99,18,-99,-99,15,-99
02/01/23,23,-99,7,15,-99,19,-99,4,11,-99,6,-99,-99,21,-99,-99,17,-99
02/01/23,24,-99,7,15,-99,15,-99,3,9,-99,4,-99,-99,20,-99,-99,13,-99
03/01/23,1,-99,9,19,-99,15,-99,2,7,-99,5,-99,-99,18,-99,8,7,-99
03/01/23,2,-99,7,20,-99,14,-99,4,6,-99,4,-99,-99,8,-99,6,9,-99
03/01/23,3,-99,7,37,-99,10,-99,2,7,-99,6,-99,-99,7,-99,7,7,-99
03/01/23,4,-99,7,33,-99,8,-99,2,7,-99,4,-99,-99,6,-99,10,5,-99
03/01/23,5,-99,7,26,-99,13,-99,2,9,-99,4,-99,-99,7,-99,12,5,-99
03/01/23,6,-99,11,16,-99,16,-99,2,15,-99,5,-99,-99,12,-99,38,7,-99
03/01/23,7,-99,11,14,-99,16,-99,2,13,-99,3,-99,-99,12,-99,17,11,-99
03/01/23,8,-99,13,15,-99,20,-99,2,12,-99,-99,-99,-99,30,-99,26,19,-99
03/01/23,9,-99,13,26,-99,28,-99,2,17,-99,-99,-99,-99,41,-99,38,19,-99
03/01/23,10,-99,11,20,-99,22,-99,1,12,-99,-99,-99,-99,23,-99,31,20,-99
03/01/23,11,-99,13,18,-99,17,-99,4,8,-99,2,-99,-99,-99,-99,24,12,-99
03/01/23,12,-99,7,14,-99,18,-99,3,-99,-99,17,-99,-99,14,-99,13,7,-99
03/01/23,13,-99,8,11,-99,15,-99,4,6,-99,14,-99,-99,10,-99,12,12,-99
03/01/23,14,-99,8,-99,-99,9,-99,5,5,-99,14,-99,-99,8,-99,9,10,-99
03/01/23,15,-99,7,-99,-99,12,-99,8,2,-99,32,-99,-99,17,-99,11,16,-99
03/01/23,16,-99,13,-99,-99,16,-99,11,12,-99,15,-99,-99,20,-99,12,25,-99
03/01/23,17,-99,16,-99,-99,18,-99,12,12,-99,13,-99,-99,34,-99,13,22,-99
03/01/23,18,-99,14,-99,-99,17,-99,10,11,-99,13,-99,-99,27,-99,13,24,-99
03/01/23,19,-99,11,-99,-99,-99,-99,7,10,-99,19,-99,-99,45,-99,14,25,-99
03/01/23,20,-99,10,-99,-99,13,-99,5,11,-99,13,-99,-99,30,-99,14,18,-99
03/01/23,21,-99,16,-99,-99,13,-99,4,9,-99,9,-99,-99,25,-99,13,11,-99
03/01/23,22,-99,15,-99,-99,23,-99,2,9,-99,10,-99,-99,31,-99,19,21,-99
03/01/23,23,-99,18,-99,-99,25,-99,3,18,-99,10,-99,-99,32,-99,16,19,-99
03/01/23,24,-99,15,-99,-99,21,-99,3,18,-99,12,-99,-99,34,-99,25,23,-99
04/01/23,1,-99,13,-99,-99,23,-99,2,10,-99,12,-99,-99,30,-99,15,23,-99
04/01/23,2,-99,9,-99,-99,28,-99,2,13,-99,10,-99,-99,30,-99,13,18,-99
04/01/23,3,-99,8,7,-99,25,-99,3,15,-99,11,-99,-99,27,-99,10,17,-99
04/01/23,4,-99,12,15,-99,30,-99,3,12,-99,10,-99,-99,24,-99,12,18,-99
04/01/23,5,-99,11,11,-99,29,-99,3,12,-99,6,-99,-99,25,-99,13,18,-99
04/01/23,6,-99,10,9,-99,25,-99,2,12,-99,7,-99,-99,37,-99,15,19,-99
04/01/23,7,-99,17,16,-99,30,-99,3,25,-99,8,-99,-99,38,-99,26,23,-99
04/01/23,8,-99,18,63,-99,43,-99,3,23,-99,7,-99,-99,45,-99,37,22,-99
04/01/23,9,-99,18,35,-99,61,-99,18,23,-99,13,-99,-99,57,-99,52,28,-99
04/01/23,10,-99,18,30,-99,59,-99,7,21,-99,16,-99,-99,53,-99,36,24,-99
04/01/23,11,-99,18,30,-99,40,-99,11,15,-99,18,-99,-99,39,-99,31,27,-99
04/01/23,12,-99,15,21,-99,42,-99,13,7,-99,7,-99,-99,35,-99,40,22,-99
04/01/23,13,-99,16,20,-99,-99,-99,10,13,-99,13,-99,-99,40,-99,29,23,-99
04/01/23,14,-99,13,20,-99,-99,-99,11,12,-99,25,-99,-99,24,-99,28,17,-99
04/01/23,15,-99,13,20,-99,-99,-99,14,13,-99,30,-99,-99,21,-99,24,19,-99
04/01/23,16,-99,14,15,-99,-99,-99,21,11,-99,27,-99,-99,21,-99,31,17,-99
04/01/23,17,-99,12,21,-99,20,-99,18,11,-99,34,-99,-99,16,-99,33,21,-99
04/01/23,18,-99,15,39,-99,42,-99,15,13,-99,30,-99,-99,44,-99,36,32,-99
04/01/23,19,-99,25,42,-99,51,-99,14,29,-99,15,-99,-99,90,-99,60,32,-99
