FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
01/01/23,1,1,1,1,1,1,1,-99,2,2,1,2,1,0,3,-99,1,3,1,2,0,3,1,-99,2,-99,-99,2,2,-99,1,1,7,-99
01/01/23,2,1,1,1,2,1,1,-99,2,2,1,3,2,0,3,-99,2,3,1,1,1,7,1,-99,3,-99,-99,2,1,-99,1,2,8,-99
01/01/23,3,1,1,1,1,2,1,-99,2,2,1,2,2,0,3,-99,3,2,2,2,1,6,1,-99,3,-99,-99,2,1,-99,1,2,8,-99
01/01/23,4,1,1,1,1,2,1,-99,1,2,1,2,3,0,2,-99,2,2,2,1,1,6,1,-99,2,-99,-99,1,1,-99,1,2,6,-99
01/01/23,5,1,1,1,1,1,1,-99,1,1,1,1,2,0,3,-99,2,2,2,2,1,6,1,-99,2,-99,-99,1,1,-99,1,2,5,-99
01/01/23,6,1,1,0,1,1,1,1,1,1,1,2,1,0,1,-99,2,2,2,2,0,4,0,-99,2,-99,-99,1,1,-99,1,2,4,-99
01/01/23,7,1,1,1,1,1,1,1,1,1,1,1,2,0,1,-99,2,3,2,1,1,3,-99,-99,2,-99,-99,1,1,-99,1,2,4,-99
01/01/23,8,1,1,0,2,1,1,1,1,1,1,1,3,0,1,-99,2,3,2,2,0,4,-99,-99,1,-99,-99,1,1,-99,1,2,3,-99
01/01/23,9,1,1,1,3,1,1,1,1,2,2,2,4,0,3,-99,4,5,2,1,1,4,0,-99,3,-99,-99,1,3,-99,1,4,3,-99
01/01/23,10,1,1,1,4,3,1,1,1,4,4,3,4,1,3,-99,5,6,2,2,1,5,1,-99,3,-99,-99,1,9,-99,2,4,5,-99
01/01/23,11,3,1,5,4,3,1,1,1,5,4,3,4,1,3,-99,4,4,2,2,1,4,1,-99,4,-99,-99,2,4,-99,2,3,4,-99
01/01/23,12,2,1,4,3,2,1,1,1,5,3,2,3,1,1,-99,2,3,2,2,1,2,1,-99,2,-99,-99,1,2,-99,1,2,3,-99
01/01/23,13,1,1,2,2,1,1,1,1,4,2,2,2,1,1,-99,1,2,1,1,1,2,1,-99,2,-99,-99,1,2,-99,1,2,2,-99
01/01/23,14,1,1,2,1,1,1,1,1,3,2,1,1,1,0,-99,1,1,1,1,1,1,1,-99,1,-99,-99,1,1,-99,1,1,1,-99
01/01/23,15,1,1,1,1,0,1,1,1,2,1,1,1,1,0,-99,1,1,1,1,1,1,1,-99,1,-99,-99,0,1,-99,1,1,1,-99
01/01/23,16,1,1,1,1,0,2,1,1,1,1,1,1,1,0,-99,1,1,1,1,1,1,0,-99,1,-99,-99,0,0,-99,1,1,1,-99
01/01/23,17,1,1,1,1,0,2,1,1,1,1,1,1,1,0,-99,1,1,1,1,1,1,0,-99,1,-99,-99,1,0,-99,1,1,1,-99
01/01/23,18,1,1,1,1,0,2,1,1,1,1,1,2,-99,1,-99,1,1,0,1,1,1,0,-99,1,-99,-99,0,1,-99,1,1,1,-99
01/01/23,19,1,1,0,1,0,2,1,1,1,1,1,1,1,1,-99,1,1,0,1,1,1,0,-99,1,-99,-99,1,1,-99,1,1,2,-99
01/01/23,20,1,1,1,1,0,2,1,1,1,1,1,2,1,1,-99,1,1,1,1,1,1,1,-99,1,-99,-99,1,1,-99,1,1,2,-99
01/01/23,21,1,1,1,1,0,2,1,1,1,2,1,1,1,1,-99,1,1,1,1,1,1,1,-99,1,-99,-99,1,1,-99,1,1,2,-99
01/01/23,22,1,1,1,1,0,2,1,1,2,1,1,2,1,1,-99,1,2,2,1,1,2,0,-99,2,-99,-99,1,1,-99,1,1,1,-99
01/01/23,23,1,1,1,1,1,1,1,1,2,2,1,1,1,1,-99,1,2,2,1,1,1,0,-99,2,-99,-99,1,1,-99,1,1,1,-99
01/01/23,24,1,1,1,1,1,1,1,1,2,1,1,1,0,1,-99,1,2,1,1,1,1,1,-99,1,-99,-99,1,1,-99,1,1,1,-99
02/01/23,1,-99,1,1,2,1,1,1,1,1,1,1,1,1,1,-99,1,2,2,1,1,1,0,-99,1,-99,-99,1,2,-99,1,1,1,-99
02/01/23,2,-99,1,0,2,1,1,1,1,1,1,1,1,0,0,-99,1,2,1,1,1,1,0,-99,1,-99,-99,1,1,-99,1,1,2,-99
02/01/23,3,-99,1,0,1,1,1,1,1,1,1,1,2,0,0,-99,1,2,1,1,1,1,0,-99,1,-99,-99,1,1,-99,1,1,2,-99
02/01/23,4,-99,1,0,1,1,1,1,1,1,1,1,1,1,0,-99,1,2,2,1,1,1,0,-99,1,-99,-99,1,1,-99,1,1,2,-99
02/01/23,5,1,1,0,1,1,1,1,1,1,1,2,1,1,0,-99,1,2,2,1,1,1,0,-99,1,-99,-99,1,1,-99,1,1,2,-99
02/01/23,6,1,1,0,1,1,1,1,1,1,1,1,1,0,0,-99,2,2,2,2,1,1,0,-99,1,-99,-99,1,2,-99,1,1,2,-99
02/01/23,7,1,1,1,1,1,1,1,1,4,2,1,2,1,0,-99,2,4,2,3,1,2,0,-99,2,-99,-99,1,3,-99,1,1,3,-99
02/01/23,8,1,1,2,2,2,1,1,1,3,2,1,3,1,1,-99,2,6,3,2,1,2,0,-99,2,-99,-99,1,4,-99,1,1,4,-99
02/01/23,9,1,1,1,2,2,1,1,1,5,4,1,3,1,1,-99,2,3,2,1,1,2,1,-99,2,-99,-99,1,3,-99,2,2,5,-99
02/01/23,10,1,1,1,1,1,1,1,1,5,3,1,1,1,0,-99,2,1,1,1,1,1,1,-99,2,-99,-99,1,2,-99,1,1,3,-99
02/01/23,11,1,1,1,1,0,1,1,1,2,1,1,1,1,0,-99,1,1,1,1,1,1,0,-99,1,-99,-99,1,-99,-99,1,1,1,-99
02/01/23,12,1,1,0,1,0,1,1,1,1,1,0,1,1,0,-99,1,1,0,1,1,-99,0,-99,1,-99,-99,1,-99,-99,1,1,1,-99
02/01/23,13,1,1,0,1,0,1,0,1,1,1,0,1,1,0,-99,1,1,0,1,1,-99,0,-99,1,-99,-99,1,-99,-99,1,1,1,-99
02/01/23,14,1,1,0,1,0,1,1,1,1,1,0,1,1,0,-99,1,1,0,1,1,-99,0,-99,1,-99,-99,0,-99,-99,1,-99,1,-99
02/01/23,15,1,1,0,-99,0,1,1,1,1,1,0,1,1,0,-99,1,1,0,1,-99,-99,0,-99,1,-99,-99,0,0,-99,1,-99,1,-99
02/01/23,16,1,1,0,1,0,2,1,1,1,1,0,1,1,0,-99,1,1,0,1,1,-99,0,-99,1,-99,-99,0,0,-99,1,-99,1,-99
02/01/23,17,1,1,0,1,0,2,1,1,1,1,1,1,1,0,-99,1,1,0,3,1,1,0,-99,1,-99,-99,0,0,-99,1,-99,1,-99
02/01/23,18,1,1,0,1,0,1,1,1,1,1,1,2,1,0,-99,1,1,1,1,1,0,1,-99,1,-99,-99,0,0,-99,1,-99,1,-99
02/01/23,19,1,1,0,1,0,2,1,1,1,1,1,1,1,0,-99,1,1,1,1,1,1,1,-99,1,-99,-99,1,1,-99,1,1,1,-99
02/01/23,20,1,1,0,1,0,1,1,1,1,2,1,1,1,1,-99,2,2,1,1,1,1,1,-99,1,-99,-99,1,1,-99,1,1,1,-99
02/01/23,21,1,1,0,1,0,1,1,1,1,1,1,2,1,1,-99,1,2,1,1,1,1,1,-99,1,-99,-99,1,1,-99,1,1,1,-99
02/01/23,22,1,1,1,1,0,1,1,1,1,1,1,1,1,1,-99,1,2,1,1,1,1,1,-99,1,-99,-99,1,1,-99,1,1,1,-99
02/01/23,23,1,1,0,1,1,2,1,1,1,1,1,1,1,1,-99,1,2,1,1,1,1,1,-99,1,-99,-99,1,1,-99,1,1,1,-99
02/01/23,24,1,1,0,1,1,1,1,1,1,1,1,1,1,0,-99,1,2,2,1,1,1,1,-99,1,-99,-99,1,1,-99,1,1,2,-99
03/01/23,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-99,1,1,1,1,1,1,1,-99,1,-99,-99,1,1,-99,1,1,2,-99
03/01/23,2,1,0,0,1,1,1,1,1,2,1,1,1,1,0,-99,1,1,2,1,1,1,0,-99,1,-99,-99,1,0,-99,1,1,1,-99
03/01/23,3,1,1,0,1,1,1,1,1,3,1,1,1,1,0,-99,1,1,1,1,1,1,0,-99,1,-99,-99,0,1,-99,1,1,1,-99
03/01/23,4,1,1,0,2,1,1,1,1,2,1,1,1,1,0,-99,1,1,1,1,1,1,0,-99,1,-99,-99,0,1,-99,1,1,1,-99
03/01/23,5,1,1,0,2,1,1,1,1,1,1,0,1,1,0,-99,1,1,1,1,1,1,0,-99,1,-99,-99,0,1,-99,1,1,1,-99
03/01/23,6,1,1,0,2,1,0,1,1,1,1,1,2,1,1,-99,1,3,1,1,1,1,0,-99,1,-99,-99,0,1,-99,1,1,2,-99
03/01/23,7,1,1,1,2,1,1,1,1,1,2,1,2,1,1,-99,1,3,1,1,1,2,0,-99,1,-99,-99,1,1,-99,1,1,2,-99
03/01/23,8,1,1,1,2,1,1,1,1,3,3,1,2,1,1,-99,1,3,4,1,1,1,1,-99,1,-99,-99,1,2,-99,1,1,3,-99
03/01/23,9,1,1,2,2,1,1,1,1,5,5,2,2,1,2,-99,2,3,3,2,1,2,1,-99,2,-99,-99,1,3,-99,1,1,3,-99
03/01/23,10,2,1,1,2,1,1,1,1,4,2,2,2,1,0,-99,1,2,1,2,1,2,1,-99,2,-99,-99,1,1,-99,1,1,2,-99
03/01/23,11,1,1,1,2,1,2,1,1,2,3,1,1,0,0,-99,2,2,1,1,1,1,1,-99,-99,-99,-99,1,1,-99,1,1,2,-99
03/01/23,12,1,1,0,1,0,2,1,1,1,2,1,1,1,0,-99,1,1,1,1,1,1,-99,-99,1,-99,-99,0,1,-99,0,1,1,-99
