FECHA,HORA,ESTACION,CO,NO,NO2,NOX,O3,PM10,PM25,PMCO,SO2,RH,TMP,WDR,WSP
2023-01-01,1,ACO,0.78,15.0,24.0,39.0,2.0,119.0,23.0,16.0,1.0,81.0,9.3,319.0,1.3
2023-01-01,1,AJM,0.45,1.0,8.0,9.0,30.0,29.0,19.0,9.0,1.0,64.0,7.2,209.0,2.6
2023-01-01,1,AJU,0.355,3.0,19.0,24.0,14.0,45.0,23.0,16.0,1.0,100.0,2.5,36.0,2.4
2023-01-01,1,ATI,0.84,13.0,25.0,38.0,2.0,60.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,1,BJU,1.24,3.0,32.0,24.0,1.0,56.0,47.0,9.0,1.0,66.0,12.2,170.0,0.8
2023-01-01,1,CAM,1.51,47.0,39.0,86.0,1.0,66.0,52.0,14.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,1,CCA,0.65,3.0,20.0,23.0,4.0,45.0,32.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,1,CHO,0.34,7.0,15.0,22.5,26.0,52.0,23.0,16.0,1.0,54.0,17.15,146.0,1.15
2023-01-01,1,COY,0.355,3.0,19.0,24.0,26.0,45.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,1,CUA,0.46,2.0,15.0,17.0,22.0,80.0,23.0,16.0,2.0,61.0,10.9,258.0,1.7
2023-01-01,1,CUT,1.45,24.0,27.0,51.0,4.0,138.0,23.0,16.0,2.0,73.0,8.4,246.0,1.4
2023-01-01,1,FAC,1.16,21.0,31.0,51.0,1.0,84.0,23.0,16.0,1.0,73.0,8.5,245.0,0.8
2023-01-01,1,FAR,1.0,3.0,34.0,24.0,2.0,45.0,51.0,16.0,2.0,66.0,14.2,159.0,1.4
2023-01-01,1,GAM,0.355,3.0,36.0,24.0,2.0,91.0,65.0,25.0,1.0,68.0,13.3,66.0,0.3
2023-01-01,1,HGM,0.8,7.0,35.0,42.0,5.0,52.5,23.0,29.0,1.0,58.0,13.2,43.0,1.4
2023-01-01,1,INN,0.2,3.0,19.0,24.0,20.0,22.0,12.0,9.0,0.0,87.0,3.2,105.0,0.5
2023-01-01,1,IZT,1.06,18.0,36.0,54.0,3.0,120.0,23.0,16.0,3.0,51.0,17.4,163.0,1.8
2023-01-01,1,LAA,0.355,3.0,19.0,24.0,26.0,45.0,23.0,16.0,1.0,70.0,12.5,58.0,0.6
2023-01-01,1,LLA,0.355,3.0,19.0,24.0,3.0,45.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,1,LPR,0.69,3.0,19.0,24.0,6.0,45.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,1,MER,1.71,85.0,39.0,124.0,1.0,66.0,52.0,14.0,3.0,66.0,13.1,178.0,0.9
2023-01-01,1,MGH,1.2,26.0,36.0,63.0,2.0,45.0,23.0,16.0,1.0,35.5,19.9,205.0,1.9
2023-01-01,1,MON,0.53,1.0,17.0,19.0,17.0,45.0,65.0,16.0,2.0,56.0,13.9,177.0,1.8
2023-01-01,1,MPA,0.15,3.0,2.0,24.0,30.0,16.0,12.0,4.0,0.0,71.0,15.5,155.0,3.1
2023-01-01,1,NEZ,0.51,1.0,25.0,26.0,12.0,67.0,53.0,16.0,3.0,57.0,13.8,156.0,2.2
2023-01-01,1,PED,0.46,4.0,18.0,22.0,9.0,37.0,22.0,15.5,1.0,63.0,10.9,227.0,1.9
2023-01-01,1,SAC,0.45,1.0,13.0,14.0,23.0,45.0,58.0,16.0,1.0,67.0,16.6,141.0,2.4
2023-01-01,1,SAG,1.7,47.0,37.0,84.0,2.0,210.0,170.0,40.0,2.0,74.0,13.7,247.0,0.0
2023-01-01,1,SFE,0.355,3.0,19.0,24.0,26.0,45.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,1,SJA,0.355,3.0,19.0,24.0,26.0,45.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,1,TAH,1.22,20.0,26.0,46.0,3.0,141.0,23.0,16.0,2.0,65.0,9.3,9.0,0.3
2023-01-01,1,TLA,0.9,18.0,35.0,53.0,1.0,63.0,49.0,14.0,2.0,60.0,12.2,347.0,0.9
